Type,Difficulty,Category,Question,Answer,Check
TRUE/FALSE,medium,History,"Sargon II, a king of the Neo-Assyrian Empire, was a direct descendant of Sargon of Akkad.",FALSE,yes
TRUE/FALSE,easy,History,Former United States Presidents John Adams and Thomas Jefferson died within hours of each other.,TRUE,yes
TRUE/FALSE,hard,History,Japan was part of the Allied Powers during World War I.,TRUE,yes
TRUE/FALSE,easy,History,"In World War ll, Great Britian used inflatable tanks on the ports of Great Britain to divert Hitler away from Normandy/D-day landing.",TRUE,yes
TRUE/FALSE,easy,History,Thomas Crapper was a plumber who invented the flushing toilet.,FALSE,yes
TRUE/FALSE,medium,History,Abraham Lincoln was the first U.S. President to be born outside the borders of the thirteen original states. ,TRUE,yes
TRUE/FALSE,easy,History,Adolf Hitler was tried at the Nuremberg trials.,FALSE,yes
TRUE/FALSE,medium,History,"Sir Issac Newton served as a Member of Parliament, but the only recorded time he spoke was to complain about a draft in the chambers.",TRUE,yes
TRUE/FALSE,medium,History,The M41 Walker Bulldog remains in service in some countries to this day.,TRUE,yes
TRUE/FALSE,hard,History,The Kingdom of Prussia briefly held land in Estonia.,FALSE,yes
TRUE/FALSE,medium,History,"In World War II, Hawker Typhoons served in the Pacific theater.",FALSE,yes
TRUE/FALSE,medium,History,The two atomic bombs dropped on Japan by the United States in August 1945 were named ';Little Man'; and ';Fat Boy';.,FALSE,yes
TRUE/FALSE,easy,History,The Tiananmen Square protests of 1989 were held in Hong Kong.,FALSE,yes
TRUE/FALSE,hard,History,"The Battle of Trafalgar took place on October 23rd, 1805",FALSE,yes
TRUE/FALSE,medium,History,Theodore Roosevelt Jr. was the only General involved in the initial assault on D-Day.,TRUE,yes
TRUE/FALSE,easy,History,The Cold War ended with Joseph Stalin';s death.,FALSE,yes
TRUE/FALSE,medium,History,The first televised presidential debate was between Jimmy Carter and Gerald Ford.,FALSE,yes
TRUE/FALSE,medium,History,The Hundred Years'; War was fought for more than a hundred years.,TRUE,yes
TRUE/FALSE,easy,History,The United States Department of Homeland Security was formed in response to the September 11th attacks.,TRUE,yes
